,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,188,122","68,598 ","178,263","941,261","16,139","3,589",207,"7,196,740","21,742",North America
10,Spain,"247,122","25,264 ","148,558","73,300","2,386","5,285",540,"1,932,455","41,332",Europe
11,Italy,"210,717","28,884 ","81,654","100,179","1,501","3,485",478,"2,153,772","35,622",Europe
12,UK,"186,599","28,446 ",N/A,"157,809","1,559","2,749",419,"1,206,405","17,771",Europe
13,France,"168,693","24,895 ","50,784","93,014","3,819","2,584",381,"1,100,228","16,856",Europe
14,Germany,"165,664","6,866 ","130,600","28,198","1,979","1,977",82,"2,547,052","30,400",Europe
15,Russia,"134,687","1,280 ","16,639","116,768","2,300",923,9,"4,100,000","28,095",Europe
16,Turkey,"126,045","3,397 ","63,151","59,497","1,424","1,495",40,"1,135,367","13,462",Asia
17,Brazil,"101,826","7,051 ","42,991","51,784","8,318",479,33,"339,552","1,597",South America
18,Iran,"97,424","6,203 ","78,422","12,799","2,690","1,160",74,"496,273","5,909",Asia
19,Canada,"59,474","3,682 ","24,908","30,884",557,"1,576",98,"897,444","23,778",North America
20,Belgium,"49,906","7,844 ","12,309","29,753",674,"4,306",677,"423,971","36,582",Europe
21,Peru,"45,928","1,286 ","13,550","31,092",679,"1,393",39,"375,096","11,376",South America
22,India,"42,533","1,391 ","11,775","29,367",,31,1,"1,107,233",802,Asia
23,Netherlands,"40,571","5,056 ",N/A,"35,265",688,"2,368",295,"225,899","13,184",Europe
24,Switzerland,"29,905","1,762 ","24,500","3,643",141,"3,455",204,"280,220","32,378",Europe
25,Ecuador,"29,538","1,564 ","3,300","24,674",149,"1,674",89,"78,659","4,458",South America
26,Saudi Arabia,"27,011",184 ,"4,134","22,693",139,776,5,"352,555","10,127",Asia
27,Portugal,"25,282","1,043 ","1,689","22,550",144,"2,479",102,"426,836","41,860",Europe
28,Mexico,"23,471","2,154 ","13,447","7,870",378,182,17,"93,791",727,North America
29,Sweden,"22,317","2,679 ","1,005","18,633",403,"2,210",265,"119,500","11,833",Europe
30,Ireland,"21,506","1,303 ","13,386","6,817",98,"4,355",264,"169,377","34,302",Europe
31,Pakistan,"20,084",457 ,"5,114","14,513",111,91,2,"203,025",919,Asia
32,Chile,"19,663",260 ,"10,041","9,362",408,"1,029",14,"206,218","10,788",South America
33,Singapore,"18,205",18 ,"1,408","16,779",22,"3,112",3,"143,919","24,600",Asia
34,Belarus,"16,705",99 ,"3,196","13,410",92,"1,768",10,"204,239","21,614",Europe
35,Israel,"16,208",232 ,"9,749","6,227",103,"1,873",27,"397,046","45,872",Asia
36,Austria,"15,597",598 ,"13,228","1,771",114,"1,732",66,"274,355","30,462",Europe
37,Qatar,"15,551",12 ,"1,664","13,875",72,"5,398",4,"104,435","36,249",Asia
38,Japan,"14,877",487 ,"3,981","10,409",321,118,4,"183,251","1,449",Asia
39,UAE,"14,163",126 ,"2,763","11,274",1,"1,432",13,"1,200,000","121,330",Asia
40,Poland,"13,693",678 ,"3,945","9,070",160,362,18,"375,948","9,933",Europe
41,Romania,"13,163",790 ,"4,869","7,504",255,684,41,"195,508","10,163",Europe
42,Ukraine,"11,913",288 ,"1,548","10,077",158,272,7,"129,723","2,966",Europe
43,Indonesia,"11,192",845 ,"1,876","8,471",,41,3,"112,965",413,Asia
44,S. Korea,"10,801",252 ,"9,217","1,332",55,211,5,"633,921","12,365",Asia
45,Denmark,"9,523",484 ,"6,987","2,052",62,"1,644",84,"233,799","40,364",Europe
46,Serbia,"9,464",193 ,"1,551","7,720",54,"1,083",22,"101,911","11,664",Europe
47,Bangladesh,"9,455",177 ,"1,063","8,215",1,57,1,"81,434",494,Asia
48,Philippines,"9,223",607 ,"1,214","7,402",31,84,6,"120,736","1,102",Asia
49,Dominican Republic,"7,954",333 ,"1,606","6,015",144,733,31,"30,102","2,775",North America
